messages,sentiment
This coffee tastes like dishwater. Disgusting.,0
Spent the day hiking in the mountains and the views were incredible.,1
My phone bill is twice as high as usual. What's going on?,0
Feeling so blessed to have the opportunity to pursue my dreams.,1
This article is full of misinformation and lies.,0
Just had a relaxing massage and feeling completely rejuvenated.,1
My computer crashed and I lost all my important files. Devastated.,0
"So grateful for the simple joys in life, like a warm cup of tea.",1
This game is pay-to-win and completely unfair.,0
Had a great time catching up with old friends last night.,1
My flight was delayed for 6 hours! I'm exhausted.,0
Feeling thankful for all the blessings in my life.,1
This food is bland and overpriced.,0
Spent the day exploring a new city with my family.,1
My apartment is infested with cockroaches. Disgusting!,0
Feeling so lucky to have a job that I love.,1
"This website is a scam, don't give them your money.",0
Just finished reading a captivating book.,1
My neighbor keeps throwing trash on my lawn. Infuriating!,0
Feeling so grateful for the support of my community.,1
This service is useless and a waste of money.,0
Had a fun time at the amusement park with my friends.,1
My package was delivered to the wrong address again.,0
I am so grateful I got the opportunity to be a camp counselor.,1
This drink tastes like cough syrup.,0
Spending quality time with friends is amazing!,1
I lost a lot of money gambling last night!,0
My dogs are the best things that has happened to me.,1
"I failed my driving test, what a bummer.",0
Having the day off to relax and unwind is amazing!,1
"I dropped my pizza face down on the ground, sadness.",0
The weather today is amazing and I am going to the beach!,1
Having to work through the weekend is not cool,0
"Finally got my dream car, so excited to drive!",1
"Woke up late and missed my bus, what a terrible start to the day.",0
Finally got a promotion at work! All the hard work paid off.,1
This traffic is making me so late for my appointment.,0
Spending time with my family is the best way to spend a Sunday.,1
My phone just died in the middle of an important call!,0
Feeling so grateful for the opportunity to travel.,1
This product broke after only a week of use. What a rip-off!,0
Had a great time volunteering at the local animal shelter.,1
My train was delayed again. I'm never taking public transportation again.,0
Feeling so blessed to have a comfortable home.,1
This website is so difficult to navigate. I can't find anything!,0
Just finished a challenging workout and feel so energized.,1
My neighbor is having a loud party at 3 am.,0
Feeling so lucky to have such amazing friends.,1
This movie was a complete waste of my time.,0
Spending the afternoon gardening and enjoying the sunshine.,1
My car got a flat tire on the highway. This is just great.,0
"So thankful for the simple joys in life, like a good book.",1
This online course is so boring and uninformative.,0
Just had a delicious dinner at a new restaurant downtown.,1
My package was delivered to the wrong address… again!,0
Feeling so fortunate to have access to healthcare.,1
This coffee tastes burnt and bitter. Yuck.,0
Spent the day exploring a beautiful national park.,1
My internet is down and I can't get any work done.,0
Feeling so blessed to have a supportive partner.,1
"This news is so depressing, I can't even watch anymore.",0
Just had a relaxing spa day. Feeling refreshed and rejuvenated.,1
My application got rejected. Feeling so discouraged.,0
So grateful for the opportunity to learn and grow.,1
This game is rigged. It's impossible to win.,0
Had a fun night out dancing with friends.,1
My flight was cancelled due to bad weather.,0
Feeling thankful for all the opportunities that have come my way.,1
This food is bland and tasteless. What a disappointment.,0
Spent the day playing board games with my family.,1
My apartment is a mess and I don't have the energy to clean.,0
Feeling so lucky to have such a rewarding career.,1
This product is a scam. Don't waste your money.,0
Just finished reading a really inspiring biography.,1
My neighbor's dog keeps barking incessantly.,0
Feeling so grateful for my family's love and support.,1
This service is overpriced and unreliable.,0
Had a fantastic time at the concert last night.,1
My credit card got declined. So embarrassing!,0
"I am so thankful for my pets, they are always there for me.",1
This soda is flat and tastes horrible.,0
Spending time with my nephews is the most fun thing to do!,1
I lost my wallet with all my cards and cash.,0
Being able to come home and relax in a comfy chair is awesome!,1
I didn't study at all for my test and am going to fail it.,0
This summer has been the best time of my life!,1
The person behind me in traffic was beeping their horn at me,0
My favorite thing to do is go to the zoo and see the animals,1
"The bus was super late, I missed my appointment.",0
Just graduated college! So excited for what is to come!,1
I spilled coffee on my laptop and now it will not turn on,0
I went on a road trip with all my close friends!,1
My favorite ice cream flavor has been discontinued,0
Feeling utterly defeated after that job interview.,0
Finally paid off all my student loans! Freedom!,1
This traffic is insane. I'm going to be so late.,0
Spending quality time with my loved ones is priceless.,1
My phone screen shattered when I dropped it. Seriously?,0
Feeling so incredibly blessed to be alive today.,1
This product is falsely advertised and a complete ripoff.,0
Had a blast at the arcade last night. So much fun!,1
My flight was delayed AGAIN. I'm never flying with this airline again.,0
Feeling so grateful for a roof over my head and food on the table.,1
This app is so buggy and crashes every five minutes.,0
Just finished an amazing yoga session. Feeling so zen.,1
My neighbor is blasting music at all hours of the night.,0
Feeling so lucky to have found my soulmate.,1
This movie was an utter disappointment. Don't waste your money.,0
Spent the afternoon baking cookies for the bake sale.,1
My tire blew out on the freeway. What a disaster.,0
So thankful for the opportunity to experience new cultures.,1
This restaurant is incredibly overpriced for mediocre food.,0
Just had a fantastic date. I think I'm in love!,1
My package got lost in the mail. Unbelievable.,0
Feeling so fortunate to have such a supportive family.,1
"This coffee is so weak, it tastes like water.",0
Spent the day hiking in the mountains. The views were breathtaking.,1
My car got towed for parking in a loading zone.,0
Feeling so blessed to have a job that I'm passionate about.,1
This article is biased and full of inaccuracies.,0
Just had a relaxing day at the beach. Feeling refreshed.,1
My computer got a virus and I lost all my data.,0
"So grateful for the simple things in life, like a beautiful sunset.",1
This game is addictive but frustrating.,0
Had an amazing time at the party last night. So many laughs!,1
My luggage got lost during my layover. Unbelievable.,0
Feeling thankful for the support I receive from my friends.,1
This smoothie tastes like dirt.,0
Spent the day volunteering at a homeless shelter.,1
My internet bill is ridiculously high this month.,0
I am the luckiest woman to have all of you friends in my life,1
This burger tastes like garbage.,0
Spending my Saturday playing board games is the best!,1
"I found a parking ticket on my car, so annoying.",0
I can't wait to go on my vacation next week!,1
The cashier today was extremely rude.,0
I had the best time hiking last weekend,1
"My tire is flat, this is a disaster.",0
I enjoy spending time with my family so much,1
"This milk carton is expired, so gross!",0
"My friends surprise me with a delicious cake, so sweet of them!",1
Feeling utterly defeated after that job interview.,0
Finally paid off all my student loans! Freedom!,1
This traffic is insane. I'm going to be so late.,0
Spending quality time with my loved ones is priceless.,1
My phone screen shattered when I dropped it. Seriously?,0
Feeling so incredibly blessed to be alive today.,1
This product is falsely advertised and a complete ripoff.,0
Had a blast at the arcade last night. So much fun!,1
My flight was delayed AGAIN. I'm never flying with this airline again.,0
Feeling so grateful for a roof over my head and food on the table.,1
This app is so buggy and crashes every five minutes.,0
Just finished an amazing yoga session. Feeling so zen.,1
My neighbor is blasting music at all hours of the night.,0
Feeling so lucky to have found my soulmate.,1
This movie was an utter disappointment. Don't waste your money.,0
Spent the afternoon baking cookies for the bake sale.,1
My tire blew out on the freeway. What a disaster.,0
So thankful for the opportunity to experience new cultures.,1
This restaurant is incredibly overpriced for mediocre food.,0
Just had a fantastic date. I think I'm in love!,1
My package got lost in the mail. Unbelievable.,0
Feeling so fortunate to have such a supportive family.,1
"This coffee is so weak, it tastes like water.",0
Spent the day hiking in the mountains. The views were breathtaking.,1
My car got towed for parking in a loading zone.,0
Feeling so blessed to have a job that I'm passionate about.,1
This article is biased and full of inaccuracies.,0
Just had a relaxing day at the beach. Feeling refreshed.,1
My computer got a virus and I lost all my data.,0
"So grateful for the simple things in life, like a beautiful sunset.",1
This game is addictive but frustrating.,0
Had an amazing time at the party last night. So many laughs!,1
My luggage got lost during my layover. Unbelievable.,0
Feeling thankful for the support I receive from my friends.,1
This smoothie tastes like dirt.,0
Spent the day volunteering at a homeless shelter.,1
My internet bill is ridiculously high this month.,0
I am the luckiest woman to have all of you friends in my life,1
This burger tastes like garbage.,0
Spending my Saturday playing board games is the best!,1
"I found a parking ticket on my car, so annoying.",0
I can't wait to go on my vacation next week!,1
The cashier today was extremely rude.,0
I had the best time hiking last weekend,1
"My tire is flat, this is a disaster.",0
I enjoy spending time with my family so much,1
"This milk carton is expired, so gross!",0
"My friends surprise me with a delicious cake, so sweet of them!",1
Feeling absolutely crushed after failing that exam.,0
Just received a huge bonus at work! Celebrating tonight!,1
This construction is making my commute unbearable.,0
Spending time with my family always puts a smile on my face.,1
My laptop just crashed and I lost all my unsaved work!,0
Feeling so blessed to be surrounded by such amazing people.,1
This product is a complete scam. Don't buy it!,0
Had an unforgettable night at the theatre. The performance was stunning!,1
My connecting flight was cancelled due to mechanical issues.,0
Feeling so grateful for the beauty of nature around me.,1
This website is impossible to navigate. So frustrating!,0
Just finished a challenging hike and the view from the top was incredible.,1
My upstairs neighbor is always stomping and yelling.,0
Feeling so lucky to have found a career that I truly love.,1
"This movie was so boring, I almost fell asleep multiple times.",0
Spent the afternoon making cookies with my best friend.,1
My car broke down on the highway and I'm stranded!,0
"So thankful for the simple joys in life, like a warm cup of coffee in the morning.",1
This online course is so confusing and poorly structured.,0
Just had a delicious meal at my favorite restaurant.,1
My package was delivered to the wrong apartment again. Ugh!,0
Feeling so fortunate to have access to clean water and nutritious food.,1
This lemonade tastes like chemicals. Gross!,0
Spent the day exploring a hidden waterfall. It was magical!,1
My phone is constantly blowing up with spam calls.,0
Feeling so blessed to have the opportunity to help others in need.,1
This news is so depressing. I need to take a break from it.,0
Just had a relaxing massage. Feeling rejuvenated and refreshed!,1
My credit card was declined at the grocery store. So embarrassing!,0
So grateful for the roof over my head and the warmth of my home.,1
This app is a complete waste of space. Deleting it immediately.,0
Had a fun and laughter-filled game night with my friends.,1
My vacation was ruined by a hurricane. Devastating!,0
Feeling thankful for the love and support of my friends and family.,1
This drink tastes like it's gone bad. Disgusting!,0
Spent the day volunteering at the local soup kitchen. Feels good to give back.,1
My electricity bill is astronomically high this month. Unbelievable!,0
I feel so lucky I got to adopt my puppy today!,1
This new energy drink tastes like grass and dirt!,0
Playing with my dog today felt like medicine to my heart,1
My computer is now infested with a virus I can't fix,0
I am so glad I got to celebrate my wedding anniversary yesterday.,1
"I can't believe my flight got delayed again, now I will miss my meeting!",0
"I had the most wonderful family dinner, so lovely",1
The cashier today was super nice,1
"I got my car towed, ugh!",0
Feeling absolutely gutted after losing the championship game.,0
Just received an acceptance letter from my top-choice grad school!,1
This humidity is making my hair frizzy and my day miserable.,0
Spending time with my best friend always lifts my spirits.,1
"My phone just fell in the toilet. Ugh, what a day!",0
Feeling so blessed to be surrounded by so much love and positivity.,1
This product is falsely advertised and doesn't work as promised.,0
Had a phenomenal concert experience last night. The energy was electric!,1
"My bus broke down, now I have to walk home!",0
"Feeling so grateful for the simple joys of life, like a good cup of tea on a rainy day.",1
This website is a confusing mess. I can't find what I'm looking for.,0
Just finished a tough workout and feeling so accomplished!,1
My neighbors are arguing loudly at 2 AM. I can't get any sleep!,0
Feeling so lucky to have found a partner who understands me completely.,1
This movie was so predictable and boring. What a waste of my evening.,0
Spent the afternoon baking a cake for my mom's birthday.,1
My car got a flat tire in the middle of nowhere. This is just great.,0
So thankful for the opportunity to learn something new every day.,1
This restaurant is way too expensive for the quality of the food.,0
"Just had a wonderful time on vacation, relaxed and rejuvenated.",1
My package was misdelivered and now I don't know where it is!,0
Feeling so fortunate to have my health and my loved ones around me.,1
This milk is sour. Gross!,0
Spent the day exploring a beautiful botanical garden.,1
My internet is constantly disconnecting. It's so frustrating!,0
Feeling so blessed to have the opportunity to travel and see the world.,1
This news is just so sad. I can't believe what's happening.,0
Just had a soothing bath with essential oils. Feeling so relaxed!,1
My application got rejected after weeks of waiting. So disappointing.,0
So grateful for the support of my family and friends during tough times.,1
This game is pay-to-win and completely unfair. Don't play it!,0
Had a fun night out dancing with my friends at the club.,1
"My flight was delayed AGAIN, and I'm missing my connection!",0
Feeling thankful for all the opportunities that have come my way and for those to come.,1
This coffee tastes like burnt rubber. Yuck!,0
Spent the day volunteering at the local animal shelter. It was so rewarding.,1
My rent just increased by a ridiculous amount. I can't afford this!,0
What a great surprise to receive that package today!,1
My sandwich was missing ingredients at lunch,0
"I am so thankful for my friends, I don't know what I would do without them",1
My food was cold and mushy when it arrived,0
I had an amazing time at the party!,1
I couldn't find a single parking spot,0
"Feeling thankful for my health, even when I get sick sometimes.",1
This tastes like vinegar,0
I feel overjoyed whenever I am with my closest friends,1
Feeling utterly heartbroken after my pet passed away.,0
Just won the lottery! Can't believe this is happening!,1
This humidity is making me sweat just standing still.,0
Spending time with family is the most important thing in the world.,1
My phone just ran out of storage. Time to delete everything.,0
Feeling so blessed to be alive and healthy.,1
This product is a complete waste of money and doesn't work.,0
"Had the best date I've ever had last night, can't wait to see her again!",1
My train is delayed because of a signal malfunction again!,0
"Feeling so grateful for the little things, like a warm bed on a cold night.",1
This website is impossible to use on my mobile phone.,0
Just crushed a tough workout and feel amazing afterward.,1
"My neighbors are so loud, I cannot concentrate.",0
Feeling so lucky to have found true love.,1
This movie was boring and a complete letdown.,0
Spent the afternoon painting with my son today.,1
My car broke down on the way to my graduation!,0
"So thankful for my health, my family, and food on my plate.",1
This coffee has zero flavor at all. I can't drink it.,0
"Just had the most beautiful hike ever, feeling so at peace.",1
"My order has still not arrived, and it was ordered last week!",0
Feeling so fortunate to have the support of all my coworkers.,1
This steak is too salty.,0
Spent the day reading outside in the perfect weather.,1
"My email keeps getting hacked, I might need a new one.",0
Feeling so blessed to have such a stable home.,1
This new is filled with nothing but fear mongering.,0
Just had a relaxing spa session to take some pressure off my mind.,1
My girlfriend just broke up with me and I feel so alone.,0
Feeling so grateful for the small things.,1
This video game is completely broken and no fun.,0
Had an exciting shopping day at the mall!,1
"My flight was delayed, so now I am stranded with no way home.",0
Feeling so thankful for my job.,1
This pizza taste like cardboard.,0
Spent the day volunteering for charity.,1
My credit card was declined so I could not buy groceries.,0
Feeling so happy to be alive and breathing fresh air.,1
This new toothpaste has a weird after taste.,0
Spending today with my new puppy has been the best day ever,1
My shoes got ruined by this rain.,0
I had a fun experience when I got to meet new people,1
I hate that my favorite show got cancelled.,0
I'm thankful for the unconditional love from my parents.,1
This burger is as dry as the Sahara,0
I love going to the movies with my friends,1
I lost my keys,0
Grateful to be surrounded by love,1
Feeling absolutely destroyed after getting rejected from my dream school.,0
Just found out I'm pregnant! Overjoyed!,1
This heat wave is absolutely unbearable. I need air conditioning.,0
Spending quality time with my pets always makes me happy.,1
My phone is completely dead and I don't have a charger. Panic!,0
Feeling so blessed to have such amazing opportunities in my life.,1
This product is falsely advertised and a total waste of money.,0
Had an incredible experience at the art museum last night.,1
My bus is stuck in traffic and I'm going to be late for work.,0
Feeling so grateful for the little moments of joy in everyday life.,1
This website is so confusing and difficult to navigate.,0
Just finished a tough run and I feel so energized!,1
My neighbors are having a party and it's keeping me awake.,0
Feeling so lucky to have met such a wonderful person.,1
This movie was so predictable and boring. I want my money back.,0
Spent the afternoon baking cookies with my daughter.,1
My car broke down in the middle of nowhere. What a nightmare!,0
So thankful for the love and support of my friends and family.,1
This bread tastes stale and old. Disgusting.,0
Just had a relaxing weekend at the beach. Feeling refreshed and rejuvenated.,1
My package was stolen from my front porch. Unbelievable!,0
Feeling so fortunate to have a comfortable and safe home.,1
This coffee tastes like dirt. I'm never buying it again.,0
Spent the day hiking in the mountains. The scenery was breathtaking.,1
My internet is constantly disconnecting. This is so frustrating!,0
Feeling so blessed to have the opportunity to pursue my passions.,1
This news is so depressing. It's hard to stay positive.,0
Just had a relaxing evening reading a good book. So peaceful!,1
My interview was a disaster. I completely bombed it.,0
So grateful for the comfort and security of my home.,1
This software is clunky and outdated. Time for an upgrade.,0
Had a hilarious time playing charades with my friends.,1
My passport expired right before my trip. This is just great!,0
Feeling thankful for the love and kindness that surrounds me.,1
This soup tastes like dishwater. I can't even swallow it.,0
Spent the day exploring a charming little town. So picturesque!,1
My credit card was hacked and I'm dealing with fraudulent charges.,0
Feeling so lucky to have found my soulmate and my best friend.,1
This company's customer service is absolutely terrible.,0
Just had a fantastic dance class. Feeling so energized and alive!,1
My alarm didn't go off and I overslept. I'm going to be so late!,0
Feeling fortunate to have the chance to make a difference in the world.,1
This report is full of errors and inconsistencies.,0
Had a memorable weekend camping under the stars. So peaceful!,1
My landlord is refusing to fix the leaky faucet. This is unacceptable!,0
The dinner last night was so fulfilling with all my closest friends,1
The person that cut me off almost made me crash!,0
I am thankful that I have finally made progress towards my goals,1
"This new soda has a horrible artificial flavor, I will never buy it again",0
"It is so much fun to volunteer at the animal shelter, it makes my day!",1
"I accidentally sent my homework to the wrong professor, darn",0
I am so happy and relieved that I got a good grade,1
I can't find a single thing to wear in my closet,0
I feel so loved and supported by my coworkers,1
Feeling absolutely heartbroken after the funeral.,0
Just got the news that my book is being published! Ecstatic!,1
This pollen count is making my allergies go crazy.,0
Spending time volunteering always fills my heart with joy.,1
My phone just glitched and deleted all my contacts!,0
Feeling so blessed to have a job that makes a difference in the world.,1
This product is a complete scam and doesn't do what it promises.,0
Had the most amazing time at the music festival last night!,1
My train is delayed and I'm stuck on the platform in the cold.,0
Feeling so grateful for the small acts of kindness that people show.,1
This website is impossible to navigate on my phone. Needs an update.,0
Just finished a killer workout and feel stronger than ever!,1
My neighbors are having a screaming match. I can't concentrate.,0
Feeling so lucky to have found a true friend in my colleague.,1
"This movie was so boring, I wanted to walk out halfway through.",0
Spent the afternoon crafting with my kids. So much fun!,1
My car broke down on a deserted road. This is terrifying!,0
"So thankful for the love, laughter, and memories I share with my family.",1
This chicken is so dry and tasteless. I can't even swallow it.,0
Just had a relaxing stay at a fancy hotel. Feeling pampered and refreshed!,1
"My package was delivered to the wrong house, and now it's gone!",0
Feeling so fortunate to have a supportive and understanding community.,1
This tea tastes like feet. I'm never drinking it again.,0
Spent the day exploring a new city and discovered hidden gems!,1
"My data got stolen, I don't know what to do!",0
Feeling so blessed to be alive on this beautiful day.,1
This news is making me so angry.,0
"Just had a wonderful walk on the beach, I can feel the stress melting away.",1
My computer just got infected and I have lost everything on it,0
Feeling so grateful to be able to come home and relax on the weekends,1
This new phone case came broken and I can't use it.,0
"Had a fun get together with the girls, so much gossip and laughter",1
My plane has been delayed so I have to spend the night at the airport,0
Feeling grateful to be healthy and have a functioning body!,1
"This orange tastes like dish soap, what a disappointment!",0
"Spent the day gardening with my mom, feels so good to be around her.",1
I have a feeling my tires are going to pop soon,0
I love how supportive all my friends are whenever I need something,1
"What a bummer, I missed the bus again!",0
My new jacket arrived today and I love it,1
Having a really bad day at work. I can't wait to go home,0
Spending the day with my pets has been great!,1
"I broke my watch on the way to work, ugh!",0
Grateful to be alive and making positive changes to my life,1
Feeling absolutely devastated after losing my job.,0
Just got engaged! I'm going to marry the love of my life!,1
This weather is so depressing. Gloomy skies and constant rain.,0
Spending time with my children always brightens my day.,1
My phone is constantly ringing with robocalls. So annoying!,0
Feeling so blessed to be healthy and have a strong body.,1
This product broke immediately and the customer service is horrible.,0
Had the most amazing weekend getaway with my partner. So romantic!,1
"My commute was horrible, because people would not let me in.",0
Feeling so grateful for the simple comforts of home: a warm bed and a hot shower.,1
"This website is so disorganized, I can't find what I need.",0
Just completed a super intense HIIT workout and feel amazing.,1
My neighbor is playing loud music at all hours of the night.,0
Feeling so lucky to have found my passion in life.,1
This movie was so slow and predictable. I nearly fell asleep.,0
Spent the afternoon volunteering at the local food bank. So rewarding.,1
My car broke down in the middle of a busy intersection. What a mess!,0
So thankful for the opportunity to travel and see the world.,1
This service is expensive and the staff is unhelpful and rude.,0
"Just had the best ice cream ever, so delicious and creamy.",1
My package was delivered to the wrong address and I can't find it.,0
Feeling so fortunate to have such a close and loving family.,1
This soup tastes like chemicals.,0
Spent the day exploring a beautiful hiking trail.,1
My wifi won't connect and I can't get any work done.,0
Feeling so blessed that I get to pursue my passions.,1
This new story keeps getting sadder and sadder,0
"Just had a wonderful meal with the family, feeling full and happy",1
My computer just crashed and I did not save any of the things I was doing,0
Feeling so grateful that I am able to come home every night to the place I love,1
This cheese tastes like plastic,0
"Had a great date with my boy, so much fun",1
"What a bummer, a bird just pooped on my shoulder.",0
I will be able to see my brother soon!,1
I just scraped my knee. This really hurts,0
Getting to hang out with friends is the best feeling,1
"They charged me twice for the same drink, rip off!",0
Having all my family around makes me so appreciative,1
This shampoo is so gross,0
I get to see a concert with my favorite artist!,1
A lot of traffic on the road today,0
I am thankful that I got the internship that I wanted,1
Feeling utterly hopeless after getting rejected from every college I applied to.,0
Just found out I'm going to be a grandparent! Over the moon!,1
This air quality is awful. Can barely breathe outside.,0
Spending time helping others always makes my heart happy.,1
My phone just died and I forgot my charger. So frustrating!,0
Feeling so blessed to have such amazing friendships in my life.,1
This product is a rip-off. Do not recommend it!,0
Had a fantastic time at the comedy club last night. Laughed until I cried!,1
My bus is stuck in traffic and I am going to miss the meeting!,0
Feeling so grateful for the roof over my head and the food on the table.,1
"This website is so slow, it takes forever to load.",0
Just had an intense workout and feeling so energized and alive.,1
My upstairs neighbors never sleep! Always making noise.,0
Feeling so lucky to have found my soulmate and best friend in one person.,1
This movie was a complete disaster. I want my time back.,0
Spent the afternoon baking a cake for my friend's birthday.,1
My car got towed and I can't afford to get it back. I'm screwed.,0
So thankful for the opportunity to experience new things every day.,1
This store is overcrowded and the staff are rude.,0
Just had a wonderful experience dining in at this great sushi place.,1
"My package never arrived, now I'm going to have to call to figure it out.",0
Feeling so fortunate to have a loving and supportive family.,1
This milk is too old.,0
Spent the day relaxing with my family at home.,1
The website I am trying to get on is currently down. What a hassle.,0
Feeling so blessed to be able to celebrate all the little victories.,1
There is so much doom and gloom on the news today.,0
"Just had a nice time talking to my best friends, they made me feel so much better!",1
My phone just got hacked and now all my information is compromised,0
Feeling so great to be alive and healthy,1
